J Voltage (V),Q Voltage (V),Q Logic State
0.0,+127.21E-3,L
0.05,+127.19E-3,L
0.1,+127.19E-3,L
0.15,+127.21E-3,L
0.2,+127.26E-3,L
0.25,+127.28E-3,L
0.3,+127.29E-3,L
0.35,+127.27E-3,L
0.4,+127.33E-3,L
0.45,+127.30E-3,L
0.5,+127.28E-3,L
0.55,+127.25E-3,L
0.6,+127.26E-3,L
0.65,+127.27E-3,L
0.7,+127.28E-3,L
0.75,+127.26E-3,L
0.8,+127.22E-3,L
0.85,+127.25E-3,L
0.9,+127.31E-3,L
0.95,+4.416E+0,H
1.0,+4.417E+0,H
1.05,+4.416E+0,H
1.1,+4.416E+0,H
1.15,+4.416E+0,H
1.2,+4.416E+0,H
1.25,+4.416E+0,H
1.3,+4.416E+0,H
1.35,+4.416E+0,H
1.4,+4.416E+0,H
1.45,+4.416E+0,H
1.5,+4.416E+0,H
