J Voltage (V),Q Voltage (V),Q Logic State
0.0,+125.94E-3,L
0.05,+125.95E-3,L
0.1,+125.96E-3,L
0.15,+125.96E-3,L
0.2,+125.95E-3,L
0.25,+125.95E-3,L
0.3,+125.97E-3,L
0.35,+125.98E-3,L
0.4,+125.98E-3,L
0.45,+125.98E-3,L
0.5,+125.98E-3,L
0.55,+126.00E-3,L
0.6,+126.00E-3,L
0.65,+126.00E-3,L
0.7,+126.00E-3,L
0.75,+126.00E-3,L
0.8,+126.01E-3,L
0.85,+126.02E-3,L
0.9,+126.05E-3,L
0.95,+4.420E+0,H
1.0,+4.412E+0,H
1.05,+4.412E+0,H
1.1,+4.412E+0,H
1.15,+4.412E+0,H
1.2,+4.412E+0,H
1.25,+4.412E+0,H
1.3,+4.412E+0,H
1.35,+4.412E+0,H
1.4,+4.412E+0,H
1.45,+4.412E+0,H
1.5,+4.412E+0,H
