J Voltage (V),Q Voltage (V),Q Logic State
1.5,+120.32E-3,L
1.45,+4.377E+0,H
1.4,+120.29E-3,L
1.35,+4.378E+0,H
1.3,+120.25E-3,L
1.25,+4.378E+0,H
1.2,+120.23E-3,L
1.15,+4.378E+0,H
1.1,+120.17E-3,L
1.05,+4.378E+0,H
1.0,+120.18E-3,L
0.95,+4.378E+0,H
0.9,+120.16E-3,L
0.85,+120.15E-3,L
0.8,+120.15E-3,L
0.75,+120.14E-3,L
0.7,+120.14E-3,L
0.65,+120.11E-3,L
0.6,+120.11E-3,L
0.55,+120.11E-3,L
0.5,+120.11E-3,L
0.45,+120.11E-3,L
0.4,+120.09E-3,L
0.35,+120.08E-3,L
0.3,+120.07E-3,L
0.25,+120.05E-3,L
0.2,+120.08E-3,L
0.15,+120.06E-3,L
0.1,+120.04E-3,L
0.05,+120.00E-3,L
0.0,+119.98E-3,L
