AO Voltage (J) (V),Q Voltage (V)
5.0,+133.39E-3
4.9,+133.40E-3
4.8,+133.44E-3
4.7,+133.45E-3
4.6,+133.41E-3
4.5,+133.37E-3
4.4,+133.34E-3
4.3,+133.41E-3
4.2,+133.43E-3
4.1,+133.38E-3
4.0,+133.32E-3
3.9,+133.35E-3
3.8,+133.39E-3
3.7,+133.41E-3
3.6,+133.34E-3
3.5,+133.29E-3
3.4,+133.35E-3
3.3,+133.36E-3
3.2,+133.38E-3
3.1,+133.34E-3
3.0,+133.30E-3
2.9,+133.31E-3
2.8,+133.33E-3
2.7,+133.35E-3
2.6,+133.26E-3
2.5,+133.27E-3
2.4,+133.28E-3
2.3,+133.31E-3
2.2,+133.32E-3
2.1,+133.23E-3
2.0,+133.21E-3
1.9,+133.26E-3
1.8,+133.29E-3
1.7,+133.24E-3
1.6,+133.27E-3
1.5,+133.22E-3
1.4,+133.24E-3
1.3,+133.27E-3
1.2,+133.29E-3
1.1,+133.25E-3
1.0,+133.20E-3
0.9,+133.22E-3
0.8,+133.25E-3
0.7,+133.27E-3
0.6,+133.24E-3
0.5,+133.19E-3
0.4,+133.20E-3
0.3,+133.22E-3
0.2,+133.19E-3
0.1,+133.06E-3
0.0,+132.90E-3
